scorer,DLC_resnet50_DogTrain1Dec4shuffle1_150000,DLC_resnet50_DogTrain1Dec4shuffle1_150000,DLC_resnet50_DogTrain1Dec4shuffle1_150000,DLC_resnet50_DogTrain1Dec4shuffle1_150000,DLC_resnet50_DogTrain1Dec4shuffle1_150000,DLC_resnet50_DogTrain1Dec4shuffle1_150000,DLC_resnet50_DogTrain1Dec4shuffle1_150000,DLC_resnet50_DogTrain1Dec4shuffle1_150000,DLC_resnet50_DogTrain1Dec4shuffle1_150000,DLC_resnet50_DogTrain1Dec4shuffle1_150000,DLC_resnet50_DogTrain1Dec4shuffle1_150000,DLC_resnet50_DogTrain1Dec4shuffle1_150000
bodyparts,bodypart1,bodypart1,bodypart1,bodypart2,bodypart2,bodypart2,bodypart3,bodypart3,bodypart3,objectA,objectA,objectA
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
74,715.7117309570312,662.0847778320312,0.9999988079071045,665.9925537109375,647.4715576171875,0.999999463558197,713.306640625,627.7769165039062,0.9999997615814209,780.4473266601562,649.8694458007812,0.9999963045120239
75,715.739013671875,662.0594482421875,0.999998927116394,666.0064697265625,647.4625854492188,0.9999995231628418,713.3099365234375,627.769287109375,0.9999997615814209,780.401123046875,649.8715209960938,0.9999961256980896
76,715.6575927734375,662.0396118164062,0.9999987483024597,666.0035400390625,647.461181640625,0.999999463558197,713.2635498046875,627.7747802734375,0.9999997615814209,780.4678955078125,649.8832397460938,0.9999961853027344
77,715.7396240234375,662.0675659179688,0.9999986886978149,666.0973510742188,647.4426879882812,0.9999994039535522,713.2972412109375,627.732177734375,0.9999997019767761,780.5897827148438,649.8773803710938,0.9999962449073792
78,715.6956787109375,662.078125,0.9999986886978149,666.0933837890625,647.4094848632812,0.9999994039535522,713.2110595703125,627.7301025390625,0.9999997615814209,780.6453247070312,649.8869018554688,0.9999961853027344
79,715.7347412109375,662.1477661132812,0.9999988079071045,666.1107788085938,647.4127807617188,0.9999994039535522,713.2706298828125,627.649658203125,0.9999997019767761,780.5735473632812,649.8748168945312,0.9999961853027344
80,715.734130859375,662.1083374023438,0.9999987483024597,666.1980590820312,647.4457397460938,0.9999994039535522,713.2473754882812,627.6296997070312,0.9999997019767761,780.611328125,649.8688354492188,0.9999961853027344
81,715.7306518554688,662.1416015625,0.9999986886978149,666.1974487304688,647.430908203125,0.9999993443489075,713.2914428710938,627.6414794921875,0.9999997019767761,780.6732177734375,649.8886108398438,0.9999962449073792
82,715.8214721679688,662.0446166992188,0.9999986886978149,666.3301391601562,647.3477783203125,0.9999992847442627,713.3123168945312,627.664306640625,0.9999997019767761,780.6978759765625,649.8602905273438,0.9999962449073792
83,715.787109375,662.0435791015625,0.9999986886978149,666.3313598632812,647.32470703125,0.9999992847442627,713.2828369140625,627.6688842773438,0.9999997615814209,780.6968994140625,649.9312744140625,0.9999961853027344
84,715.7700805664062,662.0470581054688,0.9999986886978149,666.2816772460938,647.371337890625,0.9999992847442627,713.288818359375,627.6616821289062,0.9999997019767761,780.7425537109375,649.9065551757812,0.9999961853027344
85,715.7776489257812,662.0790405273438,0.9999986886978149,666.2208862304688,647.3358154296875,0.9999992847442627,713.235107421875,627.6520385742188,0.9999997019767761,780.7286376953125,649.962158203125,0.9999958276748657
86,715.790283203125,662.0668334960938,0.9999986886978149,666.2258911132812,647.3353271484375,0.9999992847442627,713.2951049804688,627.6785888671875,0.9999997615814209,780.7786865234375,649.9070434570312,0.9999960660934448
87,715.7594604492188,662.10302734375,0.9999986886978149,666.2171630859375,647.3399658203125,0.9999992847442627,713.250732421875,627.6876220703125,0.9999997019767761,780.7701416015625,649.8894653320312,0.9999961853027344
88,715.8064575195312,662.1126098632812,0.9999986886978149,666.252197265625,647.3618774414062,0.9999992847442627,713.32763671875,627.68896484375,0.9999997019767761,780.7312622070312,649.8993530273438,0.9999960660934448
89,715.9013671875,662.0262451171875,0.9999986290931702,666.2435913085938,647.3023071289062,0.9999992847442627,713.2398071289062,627.7314453125,0.9999997615814209,780.7783203125,649.9221801757812,0.9999959468841553
